Date,Goods,Services,Total_Spending, Goods_Change_yoy,Services_Change_yoy,Spending_Change_yoy,Personal_Income,Unemployment ,Cumulative Cases,Cumulative Deaths,New_Cases,New_Deaths
8/1/05,3123.9,5726.2,8850.1,0.075686099,0.066828132,0.069938101,10684.7,0.049,0,0,0,0
9/1/05,3140.1,5760.3,8900.4,0.068824671,0.066031276,0.067015129,10750.8,0.05,0,0,0,0
10/1/05,3151.4,5787.1,8938.5,0.062293535,0.065685769,0.064487317,10825.6,0.05,0,0,0,0
11/1/05,3119.7,5826.5,8946.2,0.046668456,0.066362854,0.059411451,10873.6,0.05,0,0,0,0
12/1/05,3132.3,5848.8,8981.1,0.041877328,0.06380502,0.056053337,10915.9,0.049,0,0,0,0
1/1/06,3209.7,5861.9,9071.6,0.076177703,0.062862634,0.067535921,11110.9,0.047,0,0,0,0
2/1/06,3191.4,5904.6,9096,0.0601249,0.06414115,0.062728558,11180.6,0.048,0,0,0,0
3/1/06,3189.4,5943.4,9132.8,0.058581433,0.064076627,0.062151098,11251.7,0.047,0,0,0,0
4/1/06,3223.1,5968.5,9191.6,0.051513767,0.063297228,0.059135324,11307.8,0.047,0,0,0,0
5/1/06,3223.3,6008.5,9231.8,0.063900716,0.06497811,0.064601688,11329.1,0.046,0,0,0,0
6/1/06,3231.9,6027.8,9259.7,0.050238846,0.061961558,0.057840382,11372,0.046,0,0,0,0
7/1/06,3285.5,6058.3,9343.8,0.043181457,0.062058447,0.055343468,11404.2,0.047,0,0,0,0
8/1/06,3269,6073.2,9342.2,0.04644835,0.060598652,0.055603891,11431.6,0.047,0,0,0,0
9/1/06,3265.8,6109.5,9375.3,0.040030572,0.060621843,0.053357152,11471.2,0.045,0,0,0,0
10/1/06,3251.4,6142.2,9393.6,0.031731929,0.061360612,0.050914583,11507.6,0.044,0,0,0,0
11/1/06,3236.4,6163.8,9400.2,0.037407443,0.057890672,0.050747804,11570.5,0.045,0,0,0,0
12/1/06,3298.9,6189.3,9488.2,0.053187753,0.05821707,0.056463017,11679.2,0.044,0,0,0,0
1/1/07,3299.7,6239,9538.7,0.028040004,0.064330678,0.051490366,11737.9,0.046,0,0,0,0
2/1/07,3296,6269.9,9565.9,0.032775584,0.061867019,0.05166007,11824.1,0.045,0,0,0,0
3/1/07,3328.7,6283.1,9611.8,0.043675927,0.057155837,0.052448318,11910.2,0.044,0,0,0,0
4/1/07,3332.2,6311.3,9643.5,0.0338494,0.057434866,0.049164455,11955.5,0.045,0,0,0,0
5/1/07,3368,6317.8,9685.8,0.044891881,0.051477074,0.049177842,11995.3,0.044,0,0,0,0
6/1/07,3355.2,6351.6,9706.8,0.038150933,0.053717774,0.048284502,12015.3,0.046,0,0,0,0
7/1/07,3375.5,6375.7,9751.2,0.027393091,0.052390935,0.043601104,12041.5,0.047,0,0,0,0
8/1/07,3366.9,6432,9798.9,0.029947996,0.059079233,0.048885701,12050.3,0.046,0,0,0,0
9/1/07,3397.6,6447.4,9845,0.040357646,0.055307308,0.05009973,12115.9,0.047,0,0,0,0
10/1/07,3406,6476.7,9882.7,0.047548748,0.054459314,0.052067365,12142.4,0.047,0,0,0,0
11/1/07,3442.7,6513.2,9955.9,0.063743666,0.056685811,0.059115763,12197.5,0.047,0,0,0,0
12/1/07,3435.9,6536.9,9972.8,0.041528995,0.05616144,0.051073966,12270.4,0.05,0,0,0,0
1/1/08,3421,6575.4,9996.4,0.036760918,0.053918897,0.047983478,12302.1,0.05,0,0,0,0
2/1/08,3386.8,6594.9,9981.7,0.027548544,0.051834957,0.043466898,12329.8,0.049,0,0,0,0
3/1/08,3411.3,6623.9,10035.2,0.024814492,0.054240741,0.044050022,12374,0.051,0,0,0,0
4/1/08,3415.3,6655,10070.3,0.024938479,0.054457877,0.04425779,12360.2,0.05,0,0,0,0
5/1/08,3444.4,6687.9,10132.3,0.022684086,0.058580519,0.046098412,12934.6,0.054,0,0,0,0
